time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll
28.523065,0.0016,0.0008,0.0015,0,0.0001,-0.0004,6.527,3.5258,-76.4086,163.4343,0.264,0.5174
28.574289,0.0016,0.0008,0.0015,0,0.0001,-0.0004,6.5392,3.5136,-76.3964,163.4343,0.264,0.5174
28.598555,0.0016,0.0008,0.0015,0,0.0001,-0.0004,6.5392,3.5136,-76.3964,163.4343,0.264,0.5174
28.600605,0.0016,0.0008,0.0015,0,0,-0.0004,6.5392,3.5136,-76.3964,163.4343,0.264,0.5174
28.601788,0.0016,0.0008,0.0015,0,0,-0.0004,6.5392,3.5136,-76.3964,163.4329,0.2664,0.516
28.603354,-0.0018,-0.0034,0.0007,0,0,-0.0004,6.5392,3.5136,-76.3964,163.4329,0.2664,0.516
28.637391,-0.0018,-0.0034,0.0007,0,0,-0.0004,6.5392,3.5136,-76.3964,163.4329,0.2664,0.516
28.639238,0.0023,0.0006,-0.0014,0,0,-0.0004,6.5392,3.5136,-76.3964,163.4329,0.2664,0.516
28.640469,0.0023,0.0006,-0.0014,0,0.0005,-0.0004,6.5392,3.5136,-76.3964,163.4329,0.2664,0.516
28.641668,0.0023,0.0006,-0.0014,0,0.0005,-0.0004,6.5148,3.5258,-76.4086,163.4329,0.2664,0.516
28.64299,0.0023,0.0006,-0.0014,0,0.0005,-0.0004,6.5148,3.5258,-76.4086,163.4312,0.266,0.5154
28.707039,0.0023,0.0006,-0.0014,0,0.0005,-0.0004,6.527,3.477,-76.4574,163.4312,0.266,0.5154
28.717705,0.0023,0.0006,-0.0014,0,0.0005,-0.0004,6.527,3.477,-76.4574,163.4312,0.266,0.5154
28.719271,0.0005,-0.0002,0.0005,0,0.0005,-0.0004,6.527,3.477,-76.4574,163.4312,0.266,0.5154
28.720666,0.0005,-0.0002,0.0005,0,0.0001,-0.0004,6.527,3.477,-76.4574,163.4312,0.266,0.5154
28.721844,0.0005,-0.0002,0.0005,0,0.0001,-0.0004,6.527,3.477,-76.4574,163.4314,0.2661,0.5155
28.774699,0.0005,-0.0002,0.0005,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4314,0.2661,0.5155
28.798357,0.0005,-0.0002,0.0005,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4314,0.2661,0.5155
28.80041,-0.0014,-0.001,0.0009,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4314,0.2661,0.5155
28.801694,-0.0014,-0.001,0.0009,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4314,0.2661,0.5155
28.803087,-0.0014,-0.001,0.0009,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4288,0.2669,0.5141
28.837752,-0.0014,-0.001,0.0009,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4288,0.2669,0.5141
28.840628,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4288,0.2669,0.5141
28.841853,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.5148,3.416,-76.2988,163.4288,0.2669,0.5141
28.843319,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.5026,3.4038,-76.311,163.4288,0.2669,0.5141
28.844619,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.5026,3.4038,-76.311,163.4332,0.2687,0.5155
28.909151,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.4416,3.3916,-76.2622,163.4332,0.2687,0.5155
28.918214,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.4416,3.3916,-76.2622,163.4332,0.2687,0.5155
28.919867,0.0023,-0.0025,-0.0008,0,0.0001,-0.0004,6.4416,3.3916,-76.2622,163.4332,0.2687,0.5155
28.921051,-0.0007,-0.001,-0.0022,0,0.0001,-0.0004,6.4416,3.3916,-76.2622,163.4332,0.2687,0.5155
28.922197,-0.0007,-0.001,-0.0022,0,0.0001,-0.0004,6.4416,3.3916,-76.2622,163.4318,0.2694,0.5147
28.975618,-0.0007,-0.001,-0.0022,0,0.0001,-0.0004,6.4904,3.3672,-76.25,163.4318,0.2694,0.5147
28.996719,-0.0007,-0.001,-0.0022,0,0.0001,-0.0004,6.4904,3.3672,-76.25,163.4318,0.2694,0.5147
28.998584,-0.0007,-0.001,-0.0022,0,0.0001,0.0005,6.4904,3.3672,-76.25,163.4318,0.2694,0.5147
28.999902,0.0006,-0.0003,0.0011,0,0.0001,0.0005,6.4904,3.3672,-76.25,163.4318,0.2694,0.5147
29.001083,0.0006,-0.0003,0.0011,0,0.0001,0.0005,6.4904,3.3672,-76.25,163.4323,0.2697,0.5148
29.03727,0.0006,-0.0003,0.0011,0,0.0001,0.0005,6.4904,3.3672,-76.25,163.4323,0.2697,0.5148
29.039349,0.0006,-0.0003,0.0011,0,0.0001,-0.0004,6.4904,3.3672,-76.25,163.4323,0.2697,0.5148
29.040743,0.0006,0.0016,-0.0023,0,0.0001,-0.0004,6.4904,3.3672,-76.25,163.4323,0.2697,0.5148
29.042037,0.0006,0.0016,-0.0023,0,0.0001,-0.0004,6.4904,3.3672,-76.25,163.4319,0.2685,0.515
29.043647,0.0006,0.0016,-0.0023,0,0.0001,-0.0004,6.527,3.3428,-76.2866,163.4319,0.2685,0.515
29.107042,0.0006,0.0016,-0.0023,0,0.0001,-0.0004,6.4538,3.294,-76.3598,163.4319,0.2685,0.515
29.116718,0.0006,0.0016,-0.0023,0,0.0001,-0.0004,6.4538,3.294,-76.3598,163.4319,0.2685,0.515
29.118136,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0004,6.4538,3.294,-76.3598,163.4319,0.2685,0.515
29.119473,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0004,6.4538,3.294,-76.3598,163.4319,0.2685,0.515
29.120687,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0004,6.4538,3.294,-76.3598,163.4285,0.269,0.5134
29.175685,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0004,6.5026,3.294,-76.2866,163.4285,0.269,0.5134
29.19668,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0003,6.5026,3.294,-76.2866,163.4285,0.269,0.5134
29.19845,-0.0018,-0.0007,-0.0009,0,0.0001,-0.0003,6.5026,3.294,-76.2866,163.4285,0.269,0.5134
29.199752,0.003,-0.0006,-0.0008,0,0.0001,-0.0003,6.5026,3.294,-76.2866,163.4285,0.269,0.5134
29.201089,0.003,-0.0006,-0.0008,0,0.0001,-0.0003,6.5026,3.294,-76.2866,163.433,0.2695,0.5152
29.237401,0.003,-0.0006,-0.0008,0,0.0001,-0.0003,6.5026,3.294,-76.2866,163.433,0.2695,0.5152
29.239589,0.003,-0.0006,-0.0008,0.0008,0.0001,-0.0001,6.5026,3.294,-76.2866,163.433,0.2695,0.5152
29.240727,0.001,0.0023,0.0026,0.0008,0.0001,-0.0001,6.5026,3.294,-76.2866,163.433,0.2695,0.5152
29.241721,0.001,0.0023,0.0026,0.0008,0.0001,-0.0001,6.5026,3.294,-76.2866,163.4307,0.2646,0.5156
29.243176,0.001,0.0023,0.0026,0.0008,0.0001,-0.0001,6.4904,3.3428,-76.3476,163.4307,0.2646,0.5156
29.308208,0.001,0.0023,0.0026,0.0008,0.0001,-0.0001,6.5758,3.3794,-76.4208,163.4307,0.2646,0.5156
29.315244,0.001,0.0023,0.0026,0.0008,0.0001,-0.0001,6.5758,3.3794,-76.4208,163.4307,0.2646,0.5156
29.316441,0.0015,-0.0026,0.0001,0.0008,0.0001,-0.0001,6.5758,3.3794,-76.4208,163.4307,0.2646,0.5156
29.317394,0.0015,-0.0026,0.0001,0.0008,0.0001,-0.0001,6.5758,3.3794,-76.4208,163.4337,0.2665,0.5163
29.318387,0.0015,-0.0026,0.0001,0,0.0001,-0.0004,6.5758,3.3794,-76.4208,163.4337,0.2665,0.5163
29.375842,0.0015,-0.0026,0.0001,0,0.0001,-0.0004,6.6002,3.4526,-76.4574,163.4337,0.2665,0.5163
